31.681 - 34.172:  Tchau.
1878.012 - 1898.097:  É dependendo dos outros o tempo todo. Se der ruim, eu faço um empréstimo. Se der ruim, eu pego o quarto cartão de crédito. Se der ruim, eu procuro o agiota. Quando você tem dinheiro, você passa a não depender de mais ninguém. Entende? Então, por mais que o tênis seja prazeroso, o tênis é prazeroso porque essa pessoa não sabe como é bom ter 3 mil reais sobrando na conta.
1898.097 - 1916.664:  E fazer ele aumentar a cada mês. E caramba, se eu seguir nesse ritmo aqui, acho que daqui a um ano eu vou ter 15. Mano, 15! Porque assim, quanto mais dinheiro você tem, mais rápido ele vai se multiplicando. Então o problema é o estágio inicial, que é meio desanimador. É, você colocar na cabeça do cara que dá pra ele guardar...
1916.664 - 1943.046:  sei lá, 10% do salário dele, isso é bom? Dá para guardar 10% do salário? Dá, né? A maioria da galera do meu canal guarda 50 reais, que é bem menos do que 10%. Então o salário mínimo é 140, 10%, né? Então já estaria ótimo. Então tá bom, você convenceu o cara que ele guardar 50 reais por mês ali e o cara vai pensar logo, porra, meu irmão, mas a minha cervejinha, porra, mas e o meu futebol, né?
1943.046 - 1962.261:  Se for esse cara, porque tem os caras também que não tem jeito, né? Tem os caras que, puta caralho, aí eu não pago aluguel. Não tem jeito. Isso é uma coisa bem interessante. Isso envolve tudo dopamina, né? Porque comportamento financeiro é aprendizado. E o aprendizado vai envolver o sistema da recompensa. Para que eu aprenda que aquilo ali é legal e queira repetir,
1962.261 - 1985.162:  Eu tenho que ter uma recompensa embutida. Então, essa senhora que veio mostrar para ti os seis mil reais, ela viu a recompensa e aí ela, nossa, eu quero repetir isso aqui. Porque o processo de consumo, ele gera um reforçador positivo. Essa pessoa, ela realmente começa a se sentir bem. E esse reforçador positivo é o que ela não quer abrir mão.
1985.162 - 2003.49:  Então, nesse processo, por exemplo, conseguir fazer com que a pessoa diga tá, então eu vou abrir mão do quê? Pelo quê? Nesse processo de eu vou abrir mão do quê? Pelo quê? Eu acho que uma coisa bem interessante é o que a gente chama em finanças comportamentais de aversão à perda. Ninguém gosta de perder.
2003.49 - 2020.128:  Quem é que gosta de perder? Quer me dar aí 500 mil? Sei lá, entendeu? Ninguém quer perder. Qualquer coisa, seja o que for, ninguém quer perder. E isso é a base da teoria de finanças comportamentais, a versão à perda. Só que o que acontece? A pessoa que está numa situação assim...
2020.128 - 2035.896:  O que é a primeira coisa que ela pensa? Eu vou perder meu estilo de vida. Ou seja, eu vou perder o meu restaurante. Eu vou perder... Eu vou ter que descer meu nível, né? E descer o nível dói. Então, eu não quero. Mas o que ela está olhando? Ela está olhando...
2036.135 - 2053.626:  perda. E como nós, seres humanos, já temos uma tendência a sobrevalorizar a perda, a perda dói duas vezes mais do que o poder do ganho. Então, é muito mais doído perder do que prazeroso ganhar. E o que eles mostram é duas vezes.
2054.753 - 2078.66:  uma atividade que a gente tem que exercitar, porque a gente tem que entender assim, como o dinheiro é aprendizado, eu preciso treinar meu cérebro a lidar de forma diferente para que eu tenha uma melhor qualidade de vida, para que eu tenha segurança, para que eu tenha tudo isso. Então, nesses aspectos, eu tenho que mudar a minha cabeça. Quando eu pensar que eu vou perder, eu não posso pensar que eu vou perder. Na verdade, eu tenho que pensar que eu vou ganhar.
2078.848 - 2104.821:  Eu não tenho que ter a construção mental de que eu estou abrindo mão. Na verdade, eu tenho que olhar e dizer assim, eu estou mudando de prioridade. A partir de agora, eu estou escolhendo construir uma vida diferente. A partir de agora, eu estou escolhendo viver melhor. A partir de agora, eu estou escolhendo botar a minha bela cabeça no travesseiro e dormir tranquila, porque até hoje eu não consegui dormir tranquila pensando no boleto que eu tinha pagado no final do mês.
2105.862 - 2118.473:  Quando a pessoa começa a mudar essa percepção, e isso é uma das estratégias que a gente usa pra mudança de comportamento. Pode ser chamada ou mudança intrapsíquica, ou, de uma forma muito simples, é mudar...
2118.746 - 2146.34:  Eu ia dizer modelo cognitivo, mas... Mudar a forma de pensar, né? É porque o modelo cognitivo vem da TCC, que é a base também que a gente usa para mudar comportamento financeiro. Mas é mudar como que tu percebe as coisas, mudar a mentalidade. Eu só não gosto, às vezes, de usar a palavra porque as pessoas... Ah, mas é então só pensar sobre isso que vai fazer com que eu mude, né? Quando, na verdade, é. Quando eu mudo o meu modelo cognitivo, ou seja...
2146.34 - 2166.51:  Eu saio de uma posição que eu tô achando que eu tô perdendo. E eu vou pra uma posição de que... Que legal! Eu tô ganhando segurança. Eu tô ganhando qualidade de vida. Eu tô ganhando meu sono maravilhoso. Eu tô ganhando uma melhor relação com as pessoas. Oportunidades. Oportunidades, né? As pessoas acham que ter reserva de emergência é só pra...
2166.834 - 2187.756:  bancar o dia ruim. Mas não, ela também me serve para se eu quero pedir demissão porque eu não estou satisfeito no meu emprego, eu tenho reserva para fazer isso. Não estamos falando de chocar essa grana, estamos falando de, às vezes, utilizar mesmo. Quando for necessário ou oportuno, mas aí tem que refazer ela. É importante.
2187.756 - 2207.654:  Essa coisa de aprender a ter dinheiro guardado. Porque o dinheiro, no fim das contas, ele é uma ferramenta para a gente ter mais qualidade de vida. É um jeito bonito de definir. Isso significa que se a gente tem um dinheiro guardado, a gente tem um tempo ali de qualidade de vida, de certa forma, garantido, que me permite, por exemplo, sair do emprego chato.
2207.654 - 2235.111:  Sim. Que me permite, por exemplo, experimentar uma oportunidade que apareceu até de fazer uma renda extra. Sim. E voltando um pouco no que você tinha falado antes, sobre o negócio de identidade. Você saber quem você é. Mano, isso pra mim é fundamental, cara. Duas coisas fundamentais. Três, vai. Primeira, prioridade na vida. São sempre três, não pode esquecer. É, porque Deus é trino, né?
2235.111 - 2257.654:  Eu vou te evangelizar hoje. Vai, vai. É... Aí, perdi agora, cara. Não, então... O cara tem que saber quem ele é. É, prioridade. Saber quem ele é e saber dizer não. Cara, eu tô até pra fazer um vídeo no canal. Você nunca, nunca na vida vai deixar de ser pobre se você não aprender a falar não, mano.
2257.654 - 2282.329:  Nossa, é muito necessário. Vamos lá, não. Por quê? Porque eu não quero. Porque interessa, não quero, sabe? Se você não sabe falar não, porque assim... Eu tô duro, cara. Não vou porque eu tô duro, cara. Pô, é uma boa desculpa, cara. Eu usei infinitas vezes isso daí. Sim, mas tem gente que não fala isso, que tem vergonha de parecer pobre. É mesmo? Sim, muito. A vergonha de parecer pobre pra mim é uma pira que não faz muito sentido.
2282.329 - 2310.435:  Ih, tem muito? É. A própria ostentação é pra não parecer pobre, né? Que é um ponto que dá pra gente falar muito aqui também, né? Mas esse negócio da identidade, mano... Aí tem algumas coisas que eu pego meio pesado no canal, né? Mas eu falo, cara, você é muito Zé Ruela se você vive pros outros. Se você vive pra provar alguma coisa pros outros. Você é muito sem personalidade. Você é muito burro. Sabe? Tipo assim, cara, você não pode viver pra provar nada pros outros, velho. Pelo amor de Deus. Sim.
2310.435 - 2329.804:  E é isso. A ostentação é isso. Você vive pra provar pro cara. Então você compra essa coisa pra mostrar aquilo. Caramba, dinheiro é pra dar qualidade de vida pra você e pra tua família. Não pra provar nada pro teu vizinho. Só que se você não tem essa identidade, você é um Maria vai com as outras.
2329.804 - 2357.551:  Se você não tem essa identidade, vamos lá? Não. Por quê? Porque eu tenho prioridade, eu quero comprar minha casa. Acabou. Só que aí entra o não. A galera não sabe falar não. E o não é uma coisa obrigatória para quem tem prioridade. Porque prioridade é o quê? É você ter várias escolhas e você ter aquela que é a tua principal. A minha prioridade... Você nunca vai sair da pobreza se a tua prioridade máxima não for sair da pobreza. Você nunca vai sair da pobreza se na hora que chamar para o rodízio de sushi você for.
2358.114 - 2385.094:  Entende? Tipo assim, qual que é a tua prioridade? É comer o... Sei lá da quanta lá, que eu não sei o nome dos bagulhos de japonês. Ou é sair dessa desgraça aí que você tá vivendo. Entende? Então, se o cara não sabe falar não, esquece. Vai morrer na pobreza. Por quê? Porque você fala... Você concorda com tudo. Quer um cafezinho? Ah, quero. Quer ir no rodízio? Ah, vamos. Quer viajar pra Ubatuba? Ah, sim. Não, não. Por quê? Porque a tua prioridade é sair da pobreza.
2385.094 - 2412.5:  Então, trazendo pra parte prática, isso é extremamente necessário. Você vai ter que falar muito não. Ah, mas eu vou perder meu amigo. Que se lasque! Caramba, mano. Tua prioridade é sair da pobreza. Entende? Ou você quer ser pobre com o teu amigo lá a vida inteira. Inclusive, dá até pra gente falar depois um pouco, né? Desse papo de com quem que a gente tem que andar se a gente quer sair da pobreza. Mas, se você tá mais preocupado com a opinião dos seus amigos... Cuidado com isso, porque os caras podem levar pro extremo. Não é o meu pai, porra.
2412.5 - 2440.162:  Meu pai quer ser pobre, mas eu vou andar com ele. Mas esse é um ponto importante. Como assim, cara? Tem gente que fala assim, né? Se você quer ficar rico, você não pode andar com pobre. Eu discordo totalmente disso, né? Eu até falo, né? Você não pode andar com gente sonsa, né? Agora, com pobre, com rico, tanto faz. Agora, gente sem propósito. Gente que não quer nada com a vida. Gente vida louca, que não tá com o mesmo propósito que você. Porque recentemente viralizou o vídeo de uma mulher lá falando, né? Se você quer ficar rico, você não pode andar com pobre. Que não pode o caramba, sabe? Tipo assim...
2440.162 - 2467.449:  O meu ciclo de amizades não mudou nada. Continuo com os meus amigos, mesmo que a minha vida financeira tá mudando. E tipo assim, o que eu vou aconselhar pra pessoa é, não anda com pessoa sonsa. Pessoa sem propósito na vida, pessoa que torre e não sabe onde quer chegar e não quer nada com nada. Pode até andar, mas só que não pode ser o seu ciclo principal de amizades, porque como dizem aí, tem até pesquisa que fala que a gente é, nós somos a média das cinco pessoas com quem a gente mais anda.
2467.807 - 2497.773:  Então assim, se você só anda com tonto, você vai ser tonto, caramba. Se você tentar começar a andar com uma pessoa mais sábia, tentar andar com uma pessoa mais inteligente, tentar seguir pessoas mais inteligentes. Agora, se você só segue mula, você vai ser o quê? Se você só anda com mula, você vai ser o quê? Então assim, isso aqui que eu tô falando não é de pobre ou rico. É de mula mesmo. Tem rico, é mula também, do mesmo jeito. Então, vê direitinho quem são seus amigos, porque talvez se você não tiver todo esse autoconhecimento, essa identidade...
2497.773 - 2513.524:  você vai ser altamente influenciada pelo ciclo de pessoas com quem você anda. E a gente traz até para a internet. Hoje em dia a gente passa... Eu estava vendo uma pesquisa, fala que o brasileiro passa em média 5 horas por dia na frente da tela. Está vendo quem nessas 5 horas?
2513.524 - 2538.166:  Tipo, é só seguindo gente sem propósito, gente fútil, gente vazia, que só fala de ostentação, de bolsa da Balenciaga, nem sei como é que fala aquela marca lá, absurdamente cara, já viu esses bagulhos? Já, já, já. Mano, você tá vendo que eles criaram uma pulseira que é idêntica a uma fita adesiva da 3M. E tipo assim, custa 15 mil. Falei, caramba, mano, eu vendo aqui por mil na minha mão aqui, se quiser, da 3M, né?
2538.166 - 2562.568:  Tu escreve Balenciaga também ali. Eu nem sei como é. É Balenciaga, não é isso? Então tem que escrever Balenciaga para valer essa grava. É, tem, tem. Com canetinha. Tipo assim, quem você está seguindo? Se você não sabe quem você é, cara, você vai se lascar. Se você não sabe falar não, você vai se lascar. Se você não define o que é prioridade para você, você vai se lascar. E se você não sabe tudo isso, o coach que está querendo...
2562.568 - 2587.688:  sabe, ganhar dinheiro nas suas coisas, vai te falar quem você tem que ser. E não é coach que vai definir o que é prioridade na minha vida. Sou eu que vou definir o que é prioridade na minha vida. Sou eu que vou definir a roupa que eu quero ter, a marca que eu quero ter, o tênis que eu quero ter, o carro que eu quero ter. Então, pessoas sem personalidade são muito mais vulneráveis a ficar comprando coisa pra impressionar os outros. E esse é um grande mal da cultura do brasileiro, que é a cultura da ostentação, né?
2588.114 - 2616.664:  Então, pessoas sem personalidade têm jeito? Todo mundo tem jeito, né? Basta a pessoa se dar conta que ela tem que querer. Ela tem que querer. Isso entra muito na questão de autocontrole, né? Tem um estudo que diz uma frase assim, porque muitos estudos mostram que pessoas que nasceram num meio pobre têm algumas repercussões na vida adulta. É que você sabe que assim, se eu perguntar pra um cara, cara, tu acha que tu tem personalidade ou não?
2616.664 - 2637.346:  O cara vai falar, pô, eu tenho personalidade. O cara primeiro tem que se ligar que ele não tem personalidade. É isso? E aí o que esses estudos mostram? Se a gente olha o autocontrole, por exemplo, ele diz assim, pessoas que vieram de um ambiente muito pobre...
2638.524 - 2656.032:  Se tu não tem autocontrole, é pior do que ter vindo de um ambiente muito pobre. Explico. Isso a gente está falando de compras compulsivas? Não, qualquer coisa. Por exemplo, por que eu trouxe isso em relação ao que o Duda estava falando? Personalidade, né? Quem eu sou.
2656.032 - 2678.968:  Quando, para que eu consiga ser fiel a quem eu sou, eu tenho que primeiro entender quem eu sou e depois eu tenho que ter autocontrole, certo? O que é autocontrole? Autocontrole nada mais é do que eu tenho tentações, mil. Eu tenho cinco horas de Instagram, eu tenho mil tentações. Todas essas tentações eu tenho que saber dizer, não, isso é autocontrole.
2679.889 - 2709.462:  Pode ser preguiça também. Eu perco pra preguiça. Aí a gente tem que olhar pra motivação. Eu acho que eu não sofro disso que a gente tá falando aqui. Eu considero que eu gasto bem pouco dinheiro. E o lance da compra de madrugada lá, pra o que mais acontece comigo é abrir o aplicativo, scrollar, colocar na bolsa lá e não comprar nunca. Tá no favoritos há dois anos. Tá lá.
2709.462 - 2738.2:  E não compra nunca. Mas eu entendo que a gente está falando de um outro padrão de comportamento. É, porque o que eu quero dizer em relação a isso é que se a pessoa não tem autocontrole, acaba que ela não consegue ser fiel às prioridades dela. E aí a gente entra no que é chamado de aversão à preferência. É quando eu estabeleço um objetivo, só que eu reverto aquele meu objetivo.
2738.456 - 2762.159:  Então, revertir o que eu tinha estabelecido. Então, eu estabeleci que eu quero economizar, que esse ano vai ser o ano, tá? Só que daí chegou aquele dia, aquele convite maravilhoso daquele amigo que queria me levar para a serra, para sei lá onde, e que todo mundo ia estar junto, ou que nós íamos comprar não sei o que e tal. Como que eu vou dizer não? Hum...
2762.159 - 2771.544:  Então, eu tinha tratado comigo mesmo que eu tinha um objetivo. Aquilo era a prioridade. Só que diante da tentação eu não resisti. Então...
2772.363 - 2796.664:  Uma característica que todo mundo tem que desenvolver é autocontrole. O que é autocontrole? Eu conseguir resistir a tentações. Só que como é que eu resisto a tentações? Não é com força de vontade. Ah, mas tu tem que ter disciplina, tu tem que ter força de vontade. Não, por quê? Por causa da questão da dopamina no cérebro. Tem horas que tu não controla. Porque tomou conta. Então, quem é a pessoa...
2796.664 - 2825.964:  Que mais consegue ser fiel... Ao que ela estabeleceu com ela mesma... E não reverter a preferência... Na hora de um convite... Na hora que tem uma tentação... Aquela pessoa que menos se expõe a tentações... Ambiente... No final das contas... Com quem tu convive... As pessoas que estão contigo... São pessoas que estão sempre comprando... Ou que não dão bola para fazer reserva... Ou que não dão bola para trabalhar... Para esforço... Para conseguir construir algo na vida...
2825.964 - 2850.589:  tu vai entrar nesse mesmo nude aí e fazer a mesma coisa. Uma outra coisa que talvez seja interessante também seja começar a conversar sobre esse tipo de coisa com os teus amigos. Trocar essa ideia com quem tá perto de você. Às vezes você tem um comportamento que é o oposto de um outro cara, que é diferente de um terceiro cara e, putz, trocar essa ideia aí pra saber como funciona pra todo mundo.
2850.589 - 2856.305:  E entra aí nesse exemplo também, a ideia é ótima de andar com a gente assim.
2856.971 - 2886.869:  E dentro dessa mesma ideia, ler livros ajuda muito. Por exemplo, a gente estava falando aqui sobre a pessoa identificar. Por que eu gasto tanto dinheiro? Que hora que eu resolvo gastar dinheiro? Como que eu estou? Sabe fazer essa autoanálise? Eu gasto quando eu estou triste? Ou eu gasto quando eu estou feliz? Por que eu estou falando isso? Esses dias eu li um livro do Thiago Brunet, chama Especialista em Pessoas. Achei muito legal. E tem uma hora lá que ele começa a falar sobre as pessoas serem descontroladas e tal, né?
2888.08 - 2895.981:  Aí tem uma parte lá que ele faz meio que uma pergunta tipo assim, o que te tira do eixo? Não coleciona dinheiro, mas de ficar nervoso, né?
2897.039 - 2924.326:  Parei ali, mano. Não prossegui até pensar. O que me tira do eixo? Aí eu comecei a escrever. Isso. Por exemplo, quando eu tô numa discussão tentando ser lógico e a pessoa é totalmente emocional e isso me irrita muito, comecei a colocar vários pontos. E tem me ajudado a me controlar. Por quê? Porque em algum momento eu parei pra pensar o que me faz ficar explosivo e soltar os cachorros.
2924.787 - 2953.268:  Se eu não percebo, eu deixo a vida me levar e vou morrer assim. Então, é bom. Aí, trazendo para esse lado de finanças, né? Como evitar? Tanto que tem uma frase que eu uso muito no meu livro, no canal, que é... Se você não tem educação financeira e controle emocional, vá mais ao parque em vez de ir ao shopping. Porque no shopping você pode gastar o céu ao limite. No parque é uma bicicleta e uma água de coco. Então, assim...
2953.814 - 2980.896:  Ir menos no shopping. Porque senão fica muito no âmbito das ideias. Ah, é verdade, eu tenho que melhorar. Tá bom, o que você faz? Vai menos no shopping, caramba. Para de ir nessa porcaria. Aí, outra coisa. Eu já reparei que quando eu tô, sei lá, quando eu tô triste, eu fico com tendência de começar... Tenta ler um livro em vez de mexer no celular. Sabe trazer atitudes práticas que vão fazer com que a gente não gaste? Porque senão a gente vai gastando.
2980.896 - 3002.619:  Não se expor a oportunidade de gastar. Exato. Não, tem estudo que mostra até ruas, sabe aquelas ruas que são ruas pavimentadas e lojas dos dois lados e no meio não passa carro? Não sei se aqui em São Paulo tem alguma, em Florianópolis tem. Agora não passa mais carro. Eles colocaram um chip nas pessoas mapeando onde é que elas caminhavam na cidade.
3002.619 - 3028.558:  E aí mapearam aquelas que passavam nessas ruas e as que não passavam naquelas ruas. A que passa nessa rua gasta muito mais do que a que não passa. É óbvio, ela não se expõe à tentação. Porque aquela coisa assim, que nem Black Friday. A Black... A Black... A Black... A Black... A Black Fraude. A Black Fraude. A pessoa, ela entra naquilo ali e ela começa a pensar assim, o que eu estou precisando para aproveitar a promoção?
3030.111 - 3052.79:  ela nem sabia que ela queria alguma coisa. Então, aquilo ali está completamente fora da prioridade, porque se fosse prioridade, ela sabia que ela precisava, né? Porque uma coisa é, vou usar a promoção quando surgir porque queimou minha máquina de lavar e eu preciso de uma máquina de lavar. Agora, entrou na sexta-feira, Black Friday, e tu começa, peraí, vou dar uma olhada aqui o que tem de oportunidades para eu aproveitar.
3052.79 - 3063.183:  O desconto é maior se tu não compra. Exato. Inclusive vai participar do programa do Rafinha Baixo, cara. Sério? O Terry Crews. Que é quando, Jean?
3064.548 - 3087.773:  Acho que é amanhã, cara. Ele é da hora esse cara. Então essas coisas, a pessoa começa a construir esses vínculos com oportunidades, entre aspas. E aí é óbvio que ela não consegue se controlar porque ela acaba não resistindo à tentação. E por que a gente não resiste à tentação? Por causa do sistema de recompensa que a gente já comentou.
3087.773 - 3105.64:  Porque nós temos uma... A nossa função executiva, ela, tipo, cansa. É como se a nossa capacidade de processamento, ela cansasse. Então, trabalha o dia inteiro. Se tu for comprar... Se tu for passar na loja de noite, a tua tendência é maior de comprar do que de manhã.
3106.527 - 3119.48:  Porque o teu processamento cognitivo, ele já está cansado. Tu já precisa dormir pra descansar, pra fazer a lavagem da adenosina no teu cérebro, e aí no dia seguinte tu tá melhor. A gente não fica meio pateta com sono? Uhum.
3119.701 - 3141.613:  É quase isso, entendeu? A nossa capacidade cognitiva se esgota. Então, se a gente for querer fazer, por exemplo, tomar decisões importantes sexta-feira de noite, não, não tome decisões importantes na sexta-feira de noite, porque sexta-feira de noite você não vai estar bem para isso. Não tome decisões financeiras no almoço, antes de comer, porque você não vai estar bom para isso.
3141.613 - 3159.104:  Tua cognição tá destinada pra fome, pra matar a fome. Então essas coisas também influenciam a gente a fazer boas escolhas, a resistir a tentações. E são coisas práticas, né? Sim, sim. Não ande na sexta-feira à noite no shopping. É.
3159.104 - 3179.753:  Uma outra coisa, uma cliente minha estava dizendo assim, me dei conta que eu gastava mais nas segundas. Tá, aí a gente usa exatamente isso. Vamos mapear o teu dia a dia, o teu ambiente, para que a gente consiga eliminar os estímulos que tem feito com que tu caia na tentação. Ela fazia a unha no shopping.
3179.753 - 3204.804:  É óbvio, né? Tô fazendo unha no shopping. Ai, deixa eu passar naquela loja pra ver se não tem uma coisa nova. Então, é óbvio que vai ter gerando estímulos, vai liberando dopamina no teu cérebro e tu vai querer. A gente fala de desejo, né? É como se houvesse um craving. É aquela coisa que tu não consegue resistir. E aí, tu vai lá e age. Mas, claro, tu...
3204.804 - 3223.029:  Tu ficou te instigando, coloca um pote de Nutella na frente e diz assim, não come. E tu adora Nutella. Uma hora ou outra tu vai enfiar uma colher ali dentro e vai comer um negócio, entendeu? Então, essas coisas, quando a gente fala em mudança ambiental, é isso.
3223.029 - 3242.346:  Sempre precisamos de um gatilho para que a gente desencadeie um comportamento. Tu nunca vai desencadear um comportamento do nada, do zero. Tu vai ter um estímulo. Que estímulos são esses? É esses estímulos que a gente tem que tirar. E quando tu comentaste da questão emocional, a questão emocional também é um estímulo.
3243.319 - 3268.046:  Por que que a questão emocional também é um estímulo? Quando pensa assim, ah, eu fico pé da vida quando eu tô falando e a pessoa sai do raciocínio. Tá, eu fiquei estressado. Gerou uma emoção. Essa emoção numa pessoa que toma decisões ruins ou que é uma pessoa, por exemplo, extremamente propensa ao risco, daqui a pouco ela vai lá e vai comprar e vai fazer um monte de operação no mercado financeiro bem nessa hora porque ela ficou pé da vida. É.
3268.729 - 3292.841:  Entendeu? Então, quando eu falo em estímulos, não são só estímulos ambientais, mas também são estímulos emocionais. Eles também servem de gatilho. Se a gente conseguir identificar quais são os gatilhos emocionais que desencadeiam os comportamentos disfuncionais, nós conseguimos começar a contornar a forma que a gente pensa e o ambiente para a gente corrigir o nosso comportamento.
3293.063 - 3322.654:  É um processo. E aí fora o ambiente, agora sim. Você tá preparado pra pegar o código? Você tá preparado pra chave? Galera aí de casa, você tá preparado? Quebre o maldito cartão de crédito. Pega essa chave. Pega esse código agora. Mas tem que tirar também do celular. Sim! Com certeza. Com certeza.
3322.654 - 3338.729:  Eu não tenho dúvida, cara. E eu amo falar isso. Ah, e como eu sou repetitivo em falar isso. O que eu vejo na prática. O que tá mudando a vida de todo mundo no meu canal é quebrar o cartão de crédito. E como eu faço inimigo por falar isso em todo lugar. Nossa, mano, os caras me odeiam.
3338.729 - 3354.974:  Vamos arrumar os mesmos inimigos. Vamos, vamos. Arrumamos os mesmos inimigos. Por que o cartão de crédito é uma desgraça na vida de quem não tem educação financeira, controle emocional, autocontrole? Porque ele é uma forma de você comprar o que você quiser sem ter porcaria de dinheiro em nenhuma conta. É.
3355.503 - 3382.995:  Cara, eu vou te falar, Igor. Toda semana recebo proposta pra falar de cartão discreto no meu canal. Eu não falo. Pode pagar quanto for, mano. Santander me procurou semana passada. Rico, corretora, todas as corretoras. Não, 50 pau eu te dou aí pra você falar. Não vou falar dessa porcaria. Por quê? Porque isso aí tá ferrando a vida dos brasileiros. E não utilizar isso tá salvando a vida dos brasileiros. Cara, então assim, pode falar quanto for. Ah, cartão discreto não é o vilão. É o vilão, sim.
3382.995 - 3412.841:  O problema não é o cartão, é o cartão. Mesma porcaria, mesma desgraça. Então, assim, acho que um dos lemas do meu canal é pare de depender do dinheiro dos outros para viver. Depender do dinheiro dos outros para viver é só em caso de, mano, meu filho está em estágio terminal no hospital, não sei o que fazer. Mas todo mundo que eu conheço que usa cartão é para realizar desejo, não para comprar o leite, nem para comprar... Claro que tem casos, mas estou falando a realidade do meu canal ali.
3413.643 - 3442.637:  Faz um teste, faz um teste, galera que tá aí em casa. Por seis meses, quebra essa porcaria de cartão de crédito. Você vai me falar lá na frente se tua vida melhorou ou não melhorou. Entendi, eu não tô falando assim, quebra pro resto da vida. Tá, mas assim, mas apaga o que você tá devendo lá antes, tá? É, vai dar um guia, né? O Duda que mandou, né? Serasa, o Duda falou, né? Quebra, mas apaga. Agora tu já gastou. Mas o maluco vai, ah, já gastei, mané.
3443.012 - 3458.217:  Já gastei já. Agora eu vou ficar com cartão de crédito. Não, foca em quitar. Foca em quitar ele e não utilizar por 6 a 12 meses. Cara, eu garanto que tua vida vai melhorar, mano. Eu garanto que tua vida... Não tem como a tua vida não melhorar. Só que vai ser um... Há quanto tempo que tu não tem cartão de crédito?
3458.353 - 3473.575:  Eu tenho cartão de crédito, só que... Ah, tá vendo? Só que aí, ó. Eu não usei cartão de crédito por 36 anos da minha vida. Hoje eu tô com 38. Até os 36 eu nunca tinha usado. Era casado, tinha casa pra sustentar, tinha esposa, enfim.
3473.575 - 3503.183:  Hoje eu uso, mas o que eu faço? Qual que é a minha regra do cartão de crédito? Eu nunca... E aqui é a minha regra, tá? Isso é a verdade absoluta. Eu nunca parcelo nada no planeta Terra na minha vida. Nunca, nada. Nem duas, nem duas. Nem vinte, nada. Por quê? Porque todo parcelamento se torna uma dívida. Pode ser do ETzinho, pode ser da garrafa, pode ser da TV, pode ser da luminária. Todo parcelamento se torna uma dívida. Então, como que o pobre está querendo sair da pobreza e quitar a dívida se tudo que ele compra ele parcela?
3503.183 - 3512.398:  É uma questão de lógica. Você só vai parar de ter dívida quando você parar de comprar coisa parcelada. E aqui a gente tem dois problemas. O cartão...
3513.114 - 3539.48:  O primeiro, Duda, eu sou compulsivo, eu compro coisa pra caramba. É ruim? É. Só que você meio que não pode se ferrar com isso, tanto quanto quem parcela. Porque se você compra um monte de coisa, mas paga a vista, tá bom. Foi teu salário inteiro, usou de forma ignorante. Mas tá bom. Agora, o cara que parcela o tempo todo, ele vai estar sempre endividado a vida dele. Então, hoje eu uso o cartão de crédito? Uso pra tudo.
3539.48 - 3565.009:  Só que mesmo tendo dinheiro, eu não parcelo nada, o meu prazer é não dever nada pra ninguém, o meu prazer é saber que se eu morrer, minha esposa não tem dívida nenhuma pra pagar, não tem que assumir nada, e deitar no travesseiro à noite com paz, sabendo que eu tenho o que eu preciso. O que eu ainda não tenho, eu não vou parcelar, eu vou juntar até conseguir comprar. Foi o que eu fiz a vida inteira, até 36 anos, mesmo sendo um CLT que ganhava entre mil e três mil reais a vida toda.
3565.009 - 3594.411:  Até um carro. Foi o que sempre funcionou. Aí, as únicas coisas, financiamento de casa e de carro, que eu consideraria ok, porque é um bagulho que é muito caro. Agora, tirando carro e casa, tipo assim, é uma TV de 10 mil? Caramba, o pobre tem que ter uma TV de 10 mil? Sabe? Tipo assim, é questão de prioridades na vida. Então, eu sugiro para as pessoas, façam teste até você ter educação financeira, ter autocontrole, quitar suas dívidas. Não use cartão de crédito.
3594.531 - 3617.892:  Só que a pessoa vai falar, Duda, mas como é que eu não vou usar cartão de crédito? Como é que eu vou comprar alguma coisa à vista? Claro, 80% do teu salário já está comprometido com a fatura. Tipo assim, hoje a média de fatura dos bailarinos é mais de mil. O salário mínimo é 1.400. Então como que o cara vai conseguir comprar a garrafinha, o bonequinho ali à vista, se quando cai o salário dele que é 2.000?
3617.892 - 3647.722:  R$1.400 é para pagar a fatura e sobra R$600 para pagar a casa, a água, a luz, o telefone. Então, qual que é a meta? Quita a sua fatura para que esses mil e pouco que você paga todo mês de fatura passe a ser um valor livre para você comprar aquele boneco à vista e ainda sobrar mais dinheiro. Nem sei quanto que é esse boneco. Deve ser caro para caramba. Esses bagulho é caro, né? É um pouco. Mas para tudo, entende? Tipo assim, as necessidades. Um tênis, uma roupa, uma viagem. Com R$1.400 você consegue fazer isso.
3647.722 - 3670.725:  Claro que depende da viagem, mas no contexto aqui simples, só que o problema é o cara não consegue comprar nada à vista e parcela tudo, porque todo o dinheiro do salário dele que serviria para comprar à vista já está comprometido na fatura do cartão. Então elimina isso por um tempo e lá na frente você pode usar todos esses argumentos, que eu não concordo com nenhum, para falar a verdade, mas parcelar é melhor, se não tiver desconto à vista eu parcelo, eu não concordo.
